second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
61.0;2;33;1;0.5;1.0;0.01388922;1.0;0.020000457763671875;37;0.5;1.0;0;0;0;1;0
61.0;4;33;1;0.5;1.0;0.9861108;1.0;1.4199981689453125;37;0.5;1.0;0;0;0;1;0
62.0;25;17;2;0.6666667;0.6666667;0.7514245;0.7514245;0.00804901123046875;187;0.78571427;0.78571427;0;0;2;0;0
62.0;17;25;1;0.33333334;0.33333334;0.2485755;0.2485755;0.00266265869140625;51;0.21428572;0.21428572;0;0;0;1;0
63.0;17;25;1;1.0;1.0;1.0;1.0;0.00295257568359375;60;1.0;1.0;0;0;0;2;0
65.0;3;33;1;0.5;0.5;0.9871511;0.9871511;0.3300018310546875;37;0.26618704;0.26618704;0;0;0;1;0
65.0;37;36;1;0.5;0.5;0.012848894;0.012848894;0.00429534912109375;102;0.7338129;0.7338129;1;0;0;0;0
66.0;35;51;1;0.33333334;1.0;0.0;1.0;0.0;26;0.17567568;1.0;0;1;0;1;0
66.0;40;51;1;0.33333334;1.0;0.3333306;1.0;0.30999755859375;26;0.17567568;1.0;0;1;0;1;0
66.0;42;51;1;0.33333334;1.0;0.6666694;1.0;0.6200027465820312;96;0.6486486;1.0;1;0;0;0;0
67.0;36;51;1;1.0;1.0;1.0;1.0;0.6599960327148438;96;1.0;1.0;1;0;0;0;0
68.0;40;36;1;0.5;0.5;0.7081761;0.7081761;0.00429534912109375;102;0.816;0.816;1;0;0;0;0
68.0;3;0;1;0.5;0.5;0.2918239;0.2918239;0.00177001953125;23;0.184;0.184;0;0;0;1;0
69.0;2;0;1;0.2;0.2;0.002106257;0.002106257;0.00177001953125;23;0.06388889;0.06388889;0;0;0;1;0
69.0;35;36;1;0.2;0.4;0.0051203836;0.010231689;0.004302978515625;102;0.28333333;0.56666666;1;0;0;0;0
69.0;0;33;1;0.2;0.2;0.35698333;0.35698333;0.29999542236328125;37;0.10277778;0.10277778;0;0;0;1;0
69.0;40;36;1;0.2;0.4;0.0051113046;0.010231689;0.00429534912109375;102;0.28333333;0.56666666;1;0;0;0;0
69.0;37;51;1;0.2;0.2;0.6306787;0.6306787;0.529998779296875;96;0.26666668;0.26666668;1;0;0;0;0
70.0;35;36;1;1.0;1.0;1.0;1.0;0.00429534912109375;102;1.0;1.0;1;0;0;0;0
71.0;38;51;1;0.5;0.5;0.993723;0.993723;0.6800003051757812;96;0.4848485;0.4848485;1;0;0;0;0
71.0;40;36;1;0.5;0.5;0.006277037;0.006277037;0.00429534912109375;102;0.5151515;0.5151515;1;0;0;0;0
73.0;2;33;1;0.25;0.5;0.12922308;0.47383988;0.05999755859375;37;0.1360294;0.2720588;0;0;0;2;0
73.0;8;33;1;0.25;0.5;0.3446168;0.47383988;0.160003662109375;37;0.1360294;0.2720588;0;0;0;1;0
73.0;40;36;1;0.25;0.25;0.009251348;0.009251348;0.00429534912109375;102;0.375;0.375;1;0;0;0;0
73.0;42;51;1;0.25;0.25;0.51690876;0.51690876;0.23999786376953125;96;0.3529412;0.3529412;1;0;0;0;0
74.0;35;36;1;1.0;1.0;1.0;1.0;0.004302978515625;102;1.0;1.0;1;0;0;0;0
76.0;35;36;1;0.2;0.2;0.23906581;0.23906581;0.00429534912109375;102;0.255;0.255;1;0;0;0;0
76.0;23;17;2;0.4;0.4;0.44840765;0.44840765;0.008056640625;187;0.4675;0.4675;0;0;2;0;0
76.0;17;23;2;0.4;0.4;0.31252655;0.31252655;0.005615234375;111;0.2775;0.2775;0;0;0;2;0
77.0;3;33;1;0.33333334;1.0;0.004785702;1.0;0.01000213623046875;37;0.33333334;1.0;0;0;0;2;0
77.0;4;33;1;0.33333334;1.0;0.009571404;1.0;0.0200042724609375;37;0.33333334;1.0;0;0;0;2;0
77.0;6;33;1;0.33333334;1.0;0.9856429;1.0;2.05999755859375;37;0.33333334;1.0;0;0;0;1;0
79.0;40;51;1;1.0;1.0;1.0;1.0;0.9300003051757812;96;1.0;1.0;1;0;0;1;0
80.0;34;51;1;0.33333334;0.33333334;0.7702721;0.7702721;0.5699996948242188;96;0.32;0.32;1;0;0;0;0
80.0;41;40;1;0.33333334;0.6666667;0.0;0.22972792;0.0;102;0.34;0.68;1;0;0;0;0
