second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
236,39,38,1,0.071428575,0.071428575,0.03532949,0.03532949,0.004302979,102,0.14265734,0.14265734,1,0,0,0,0
236,16,22,2,0.21428572,0.14285715,0.047105987,0.047105987,0.005737305,115,0.25874126,0.16083916,0,0,0,24,0
237,22,16,2,0.33333334,0.33333334,0.012052226,0.012052226,0.005493164,107,0.25,0.25,0,0,0,20,0
237,43,49,1,0.16666667,0.16666667,0.96534985,0.96534985,0.439987183,96,0.22429906,0.22429906,1,0,0,1,0
237,16,30,3,0.5,0.5,0.022597924,0.022597924,0.010299683,225,0.5257009,0.5257009,0,0,0,52,0
238,16,30,1,0.375,0.125,0.36944613,0.14059646,0.00352478,78,0.36692014,0.14828898,0,0,0,53,0
238,30,16,4,0.5,0.5,0.45952526,0.45952526,0.011520386,231,0.4391635,0.4391635,0,0,0,50,0
238,39,43,1,0.125,0.125,0.1710286,0.1710286,0.00428772,102,0.19391635,0.19391635,1,0,0,0,0
238,16,22,2,0.375,0.25,0.36944613,0.22884966,0.005737305,115,0.36692014,0.21863118,0,0,0,26,0
239,22,16,2,0.5,0.5,0.46753246,0.46753246,0.005493164,107,0.44957983,0.44957983,0,0,0,22,0
239,16,21,2,0.5,0.5,0.53246754,0.53246754,0.006256104,131,0.55042017,0.55042017,0,0,0,36,0
240,3,32,1,0.0625,0.1875,0.015256878,0.15242924,0.010009766,37,0.033183858,0.099551566,0,0,0,15,0
240,4,32,1,0.0625,0.1875,0.06095774,0.15242924,0.039993286,37,0.033183858,0.099551566,0,0,0,14,0
240,8,32,1,0.0625,0.1875,0.07621462,0.15242924,0.050003052,37,0.033183858,0.099551566,0,0,0,14,0
240,16,21,1,0.125,0.0625,0.004977091,0.004977091,0.003265381,70,0.12466368,0.06278027,0,0,0,37,0
240,21,16,6,0.375,0.375,0.012977649,0.012977649,0.008514404,355,0.31838566,0.31838566,0,0,0,39,0
