second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
406,16,22,1,0.5,0.5,0,0,0,77,0.6754386,0.6754386,0,0,0,52,0
406,14,32,1,0.5,0.5,1,1,0.003479004,37,0.32456142,0.32456142,0,0,0,22,0
407,16,28,1,0.33333334,0.33333334,0.010327358,0.010327358,0.003234863,69,0.26436782,0.26436782,0,0,0,64,0
407,33,49,1,0.33333334,0.6666667,0,0.98967266,0,96,0.3678161,0.7356322,1,0,0,0,0
407,38,49,1,0.33333334,0.6666667,0.98967266,0.98967266,0.309997559,96,0.3678161,0.7356322,1,0,0,0,0
408,36,49,1,0.33333334,0.6666667,0.46720633,0.9947107,0.309997559,96,0.35687733,0.71375465,1,0,0,0,0
408,34,49,1,0.33333334,0.6666667,0.5275044,0.9947107,0.350006104,96,0.35687733,0.71375465,1,0,0,1,0
408,16,26,1,0.33333334,0.33333334,0.005289302,0.005289302,0.003509521,77,0.28624535,0.28624535,0,0,0,60,0
409,16,30,1,1,1,1,1,0.003997803,93,1,1,0,0,0,101,0
410,0,32,1,0.11111111,0.7777778,0.039446782,0.9064342,0.010009766,37,0.08409091,0.58863634,0,0,0,27,0
410,1,32,1,0.11111111,0.7777778,0.078773305,0.9064342,0.019989014,37,0.08409091,0.58863634,0,0,0,26,0
410,3,32,1,0.11111111,0.7777778,0,0.9064342,0,37,0.08409091,0.58863634,0,0,0,27,0
410,44,49,1,0.11111111,0.11111111,0.078773305,0.078773305,0.019989014,96,0.21818182,0.21818182,1,0,0,0,0
410,5,32,1,0.11111111,0.7777778,0.15766686,0.9064342,0.040008545,37,0.08409091,0.58863634,0,0,0,25,0
410,9,32,1,0.11111111,0.7777778,0.078773305,0.9064342,0.019989014,37,0.08409091,0.58863634,0,0,0,24,0
410,11,32,1,0.11111111,0.7777778,0.078893565,0.9064342,0.020019531,37,0.08409091,0.58863634,0,0,0,23,0
410,13,32,1,0.11111111,0.7777778,0.47288033,0.9064342,0.119995117,37,0.08409091,0.58863634,0,0,0,22,0
410,16,29,1,0.11111111,0.11111111,0.014792544,0.014792544,0.003753662,85,0.19318181,0.19318181,0,0,0,91,0
411,16,17,1,0.5,0.5,0,0,0,77,0.74757284,0.74757284,0,0,0,24,0
411,45,49,1,0.5,0.5,1,1,0.003509521,26,0.2524272,0.2524272,0,1,0,1,0
412,16,21,1,1,1,1,1,0.003753662,85,1,1,0,0,0,28,0
413,48,49,1,0.25,0.25,0.9691447,0.9691447,0.369995117,26,0.087248325,0.087248325,0,1,0,2,0
413,26,16,2,0.5,0.5,0.02166267,0.02166267,0.008270264,195,0.65436244,0.65436244,0,0,2,48,0
413,16,26,1,0.25,0.25,0.009192646,0.009192646,0.003509521,77,0.25838926,0.25838926,0,0,0,61,0
414,36,49,1,0.16666667,0.16666667,0.53238314,0.53238314,0.220001221,96,0.30670926,0.30670926,1,0,0,0,0
414,0,32,1,0.16666667,0.6666667,0.096817076,0.4597888,0.040008545,37,0.11821086,0.47284344,0,0,0,28,0
414,4,32,1,0.16666667,0.6666667,0.024148881,0.4597888,0.009979248,37,0.11821086,0.47284344,0,0,0,27,0
414,5,32,1,0.16666667,0.6666667,0.12103981,0.4597888,0.050018311,37,0.11821086,0.47284344,0,0,0,26,0
414,10,32,1,0.16666667,0.6666667,0.21778303,0.4597888,0.089996338,37,0.11821086,0.47284344,0,0,0,25,0
414,16,28,1,0.16666667,0.16666667,0.007828077,0.007828077,0.003234863,69,0.22044729,0.22044729,0,0,0,65,0
415,16,29,1,1,1,1,1,0.003753662,85,1,1,0,0,0,92,0
416,44,49,1,0.14285715,0.5714286,0,0.9919066,0,96,0.14814815,0.5925926,1,0,0,0,0
416,34,49,1,0.14285715,0.5714286,0.21105172,0.9919066,0.300018311,96,0.14814815,0.5925926,1,0,0,1,0
416,22,16,2,0.2857143,0.2857143,0.005817823,0.005817823,0.008270264,195,0.30092594,0.30092594,0,0,2,32,0
416,33,49,1,0.14285715,0.5714286,0.08443357,0.9919066,0.120025635,96,0.14814815,0.5925926,1,0,0,0,0
416,16,18,1,0.14285715,0.14285715,0.002275606,0.002275606,0.003234863,69,0.106481485,0.106481485,0,0,0,38,0
416,38,49,1,0.14285715,0.5714286,0.69642127,0.9919066,0.989990234,96,0.14814815,0.5925926,1,0,0,0,0
417,16,18,1,1,1,1,1,0.003234863,69,1,1,0,0,0,39,0
418,40,49,1,0.2,0.2,0.621184,0.621184,0.480010986,26,0.1368421,0.1368421,0,1,0,1,0
418,1,32,1,0.2,0.6,0.025867857,0.37526163,0.019989014,37,0.19473684,0.5842105,0,0,0,27,0
418,3,32,1,0.2,0.6,0.14233245,0.37526163,0.109985352,37,0.19473684,0.5842105,0,0,0,28,0
418,14,32,1,0.2,0.6,0.20706134,0.37526163,0.160003662,37,0.19473684,0.5842105,0,0,0,23,0
418,16,24,1,0.2,0.2,0.003554362,0.003554362,0.002746582,53,0.27894738,0.27894738,0,0,0,57,0
419,22,16,2,0.5,0.75,0.046396166,0.046396166,0.008270264,195,0.5855856,0.8648649,0,0,2,32,0
419,24,16,1,0.25,0.75,0,0.046396166,0,93,0.2792793,0.8648649,0,0,1,30,0
419,16,19,1,0.25,0.25,0.95360386,0.95360386,0.16998291,45,0.13513513,0.13513513,0,0,0,40,0
