No.,Time,Source,Destination,Protocol,Length,Info
56,230.36,fe80::20f:f:f:f,fe80::20e:e:e:e,ICMPv6,102,RPL Control (DODAG Information Object)
57,230.364296,,00:0f:00:0f:00:0f:00:0f,IEEE 802.15.4,19,"Ack, Dst: Legra_0f:00:0f:00:0f"
58,230.93,::201:1:1:1,::203:3:3:3,UDP,45,8214  >  8214 Len=4
59,230.932472,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
60,231.08,::203:3:3:3,::201:1:1:1,UDP,45,8214  >  8214 Len=4
61,231.082472,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
62,231.95,::201:1:1:1,::20b:b:b:b,UDP,61,8214  >  8214 Len=4
63,231.952984,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
64,231.99,::201:1:1:1,::20b:b:b:b,UDP,70,8214  >  8214 Len=4
65,231.993272,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
66,232.03,::201:1:1:1,::20b:b:b:b,UDP,70,8214  >  8214 Len=4
67,232.033272,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
68,232.1,00:04:00:04:00:04:00:04,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
69,232.14,00:08:00:08:00:08:00:08,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Multitec_08:00:08:00:08"
70,232.16,00:0a:00:0a:00:0a:00:0a,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Mediatek_0a:00:0a:00:0a"
71,232.16,::20b:b:b:b,::201:1:1:1,UDP,53,8214  >  8214 Len=4
72,232.162728,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
73,232.22,00:10:00:10:00:10:00:10,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: CableTel_10:00:10:00:10"
74,232.81,fe80::20e:e:e:e,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
75,232.97,::201:1:1:1,::206:6:6:6,UDP,53,8214  >  8214 Len=4
76,232.972728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
77,233,::201:1:1:1,::206:6:6:6,UDP,62,8214  >  8214 Len=4
78,233.003016,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
79,233.14,::206:6:6:6,::201:1:1:1,UDP,53,8214  >  8214 Len=4
80,233.142728,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
81,233.29,::206:6:6:6,::201:1:1:1,UDP,54,8214  >  8214 Len=4
82,233.29276,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
83,233.83,::201:1:1:1,::208:8:8:8,UDP,53,8214  >  8214 Len=4
84,233.832728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
85,233.87,::201:1:1:1,::208:8:8:8,UDP,62,8214  >  8214 Len=4
86,233.873016,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
87,234,::208:8:8:8,::201:1:1:1,UDP,53,8214  >  8214 Len=4
88,234.002728,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
89,234.14,::208:8:8:8,::201:1:1:1,UDP,54,8214  >  8214 Len=4
90,234.14276,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
91,234.67,fe80::210:10:10:10,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
92,234.84,::201:1:1:1,::203:3:3:3,UDP,45,8214  >  8214 Len=4
93,234.842472,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
94,234.99,::203:3:3:3,::201:1:1:1,UDP,45,8214  >  8214 Len=4
95,234.992472,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
96,235.88,::201:1:1:1,::205:5:5:5,UDP,45,8214  >  8214 Len=4
97,235.882472,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
98,236.01,::205:5:5:5,::201:1:1:1,UDP,45,8214  >  8214 Len=4
99,236.012472,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
100,236.05,00:02:00:02:00:02:00:02,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: NetSys_02:00:02:00:02"
101,236.08,00:05:00:05:00:05:00:05,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Cisco_05:00:05:00:05"
102,236.1,00:07:00:07:00:07:00:07,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Zettamed_07:00:07:00:07"
103,236.15,00:0c:00:0c:00:0c:00:0c,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: BebIndus_0c:00:0c:00:0c"
104,236.16,00:0d:00:0d:00:0d:00:0d,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: SeawayNe_0d:00:0d:00:0d"
105,236.88,::201:1:1:1,::20a:a:a:a,UDP,69,8214  >  8214 Len=4
106,236.88324,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
107,236.92,::201:1:1:1,::20a:a:a:a,UDP,78,8214  >  8214 Len=4
108,236.923528,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
109,236.96,::201:1:1:1,::20a:a:a:a,UDP,78,8214  >  8214 Len=4
110,236.963528,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
111,237.12,::201:1:1:1,::20a:a:a:a,UDP,78,8214  >  8214 Len=4
112,237.123528,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
113,237.13,::20a:a:a:a,::201:1:1:1,UDP,53,8214  >  8214 Len=4
114,237.132728,,00:0a:00:0a:00:0a:00:0a,IEEE 802.15.4,19,"Ack, Dst: Mediatek_0a:00:0a:00:0a"
115,237.26,::20a:a:a:a,::201:1:1:1,UDP,62,8214  >  8214 Len=4
116,237.263016,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
117,237.9,::201:1:1:1,::207:7:7:7,UDP,53,8214  >  8214 Len=4
118,237.902728,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
119,237.94,::201:1:1:1,::207:7:7:7,UDP,62,8214  >  8214 Len=4
120,237.943016,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
121,238.07,::207:7:7:7,::201:1:1:1,UDP,53,8214  >  8214 Len=4
122,238.072728,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
123,238.22,::207:7:7:7,::201:1:1:1,UDP,54,8214  >  8214 Len=4
